Number,trans_description,year,tidal_ht_m,tidal_ht_cat_num,bare_rock,calothr,Halichondria,Spongomorpha,chaetomo,ulva_lac,ascophyl,lamin_di,lamin_sa,fucus_spir,fucus_vesic,fucus_dist,fucus_sp,chondrus,mastocar,petrocel,corralina,ceramium,lithothamn,Enteromorpha,tectura,semibal,mytilus,litt_sax,litt_lit,litt_obt,nucella,carcinus,Cancer crabs
0,a_cobble_protected,2017,-0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,0,58,0,0,0,0,0,64,0,0,0,0
0,a_cobble_protected,2017,-0.13,1,5,0,0,0,0,5,0,0,0,0,5,0,0,0,20,0,5,0,60,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2017,-0.13,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,15,0,55,0,0,0,0,0,0,16,0,0,0
0,a_cobble_protected,2018,0.38,2,10,12,0,0,0,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0,8,0,0,112,80,0,0,0
0,a_cobble_protected,2018,0.38,2,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,112,16,0,0,0
0,a_cobble_protected,2018,0.78,2,0,65,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
0,a_cobble_protected,2018,0.78,2,30,20,0,0,0,0,5,0,0,10,30,0,0,0,0,0,0,0,0,0,0,5,0,0,48,0,0,0,0
0,a_cobble_protected,2018,1.18,3,10,80,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,a_cobble_protected,2018,1.18,3,80,7,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,1.58,4,0,96,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,16,16,16,0,0,0
0,a_cobble_protected,2018,1.58,4,0,60,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,32,0,0,0,0
0,a_cobble_protected,2018,1.98,4,0,98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
0,a_cobble_protected,2018,1.98,4,0,91,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0
0,a_cobble_protected,2018,1.98,4,0,98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,2.38,4,45,5,0,0,0,0,40,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
0,a_cobble_protected,2018,2.38,4,60,15,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,2.38,4,43,35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
0,a_cobble_protected,2018,2.78,5,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,2.78,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,2.78,5,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,3.18,6,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,3.18,6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,2018,3.18,6,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,3.37,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,3.37,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,3.37,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,3.7,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,3.7,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,3.7,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,4.35,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,4.35,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,4.35,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,4.87,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,4.87,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,a_cobble_protected,,4.87,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,c_Flat_profile,2016,0.36,1,5,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,5,0,15,0,0,0,0,0,144,32,0,0,16
2,c_Flat_profile,2016,0.36,1,6,0,0,0,0,0,0,0,0,0,2,2,0,80,0,0,0,0,10,0,0,0,0,0,0,0,32,0,32
2,c_Flat_profile,2016,0.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,5,0,0,0,10,0,0,0,0,0,256,16,0,16,48
2,c_Flat_profile,2017,0.56,2,5,0,0,0,0,0,0,0,0,0,0,20,0,0,75,0,0,0,0,0,0,0,0,0,320,0,32,0,16
2,c_Flat_profile,2017,0.56,2,8,0,0,0,0,2,0,0,0,0,0,10,0,0,80,0,0,0,0,0,0,0,0,0,80,16,0,0,16
2,c_Flat_profile,2017,0.56,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,10,0,0,0,0,0,0,0,176,0,0,0,0
2,c_Flat_profile,2017,0.96,3,0,0,0,0,0,0,5,0,0,0,30,0,0,0,60,0,0,0,0,0,0,5,0,0,32,32,16,0,0
2,c_Flat_profile,2017,0.96,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,96,0,0,0,0
2,c_Flat_profile,2017,0.96,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,65,0,0,0,0,0,0,5,0,0,0,0,0,0,16
