method,lat,long,site,type,lat,transect,overall_mean_temp,overall_temp_range,avg_annual_hot_days,DOC,CN,13_yr_chla
AGRRA,17.078,88.01285,1,Back Reef,3,1,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
AGRRA,17.078,88.01285,1,Back Reef,3,2,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
AGRRA,17.078,88.01285,1,Back Reef,3,3,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
AGRRA,17.078,88.01285,1,Back Reef,3,4,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
AGRRA,17.078,88.01285,1,Back Reef,3,5,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
AGRRA,17.078,88.01285,1,Back Reef,3,6,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
Video,17.078,88.01285,1,Back Reef,3,7,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
Video,17.078,88.01285,1,Back Reef,3,8,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
Video,17.078,88.01285,1,Back Reef,3,9,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
Video,17.078,88.01285,1,Back Reef,3,10,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
Video,17.078,88.01285,1,Back Reef,3,11,28.03866,6.29,36.9,64.0718,12.0064829,2.4221429
AGRRA,16.99597,88.08416,2,Patch Reef,3,1,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
AGRRA,16.99597,88.08416,2,Patch Reef,3,2,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
AGRRA,16.99597,88.08416,2,Patch Reef,3,3,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
AGRRA,16.99597,88.08416,2,Patch Reef,3,4,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
AGRRA,16.99597,88.08416,2,Patch Reef,3,5,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
AGRRA,16.99597,88.08416,2,Patch Reef,3,6,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
Video,16.99597,88.08416,2,Patch Reef,3,7,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
Video,16.99597,88.08416,2,Patch Reef,3,8,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
Video,16.99597,88.08416,2,Patch Reef,3,9,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
Video,16.99597,88.08416,2,Patch Reef,3,10,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
Video,16.99597,88.08416,2,Patch Reef,3,11,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
Video,16.99597,88.08416,2,Patch Reef,3,12,28.02367,6.59,49.5,32.61784,2.752719,1.9015084
AGRRA,16.79491,88.27699,3,Nearshore,3,1,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.79491,88.27699,3,Nearshore,3,2,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.79491,88.27699,3,Nearshore,3,3,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.79491,88.27699,3,Nearshore,3,4,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.79491,88.27699,3,Nearshore,3,5,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.79491,88.27699,3,Nearshore,3,6,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.79491,88.27699,3,Nearshore,3,7,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
Video,16.79491,88.27699,3,Nearshore,3,8,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
Video,16.79491,88.27699,3,Nearshore,3,9,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
Video,16.79491,88.27699,3,Nearshore,3,10,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
Video,16.79491,88.27699,3,Nearshore,3,11,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
Video,16.79491,88.27699,3,Nearshore,3,12,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
Video,16.79491,88.27699,3,Nearshore,3,13,28.06722,7.27,60.2,55.12717,0.7160853,1.712862
AGRRA,16.45816,88.01295,4,Back Reef,4,1,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
AGRRA,16.45816,88.01295,4,Back Reef,4,2,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
AGRRA,16.45816,88.01295,4,Back Reef,4,3,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
AGRRA,16.45816,88.01295,4,Back Reef,4,4,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
AGRRA,16.45816,88.01295,4,Back Reef,4,5,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
AGRRA,16.45816,88.01295,4,Back Reef,4,6,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
Video,16.45816,88.01295,4,Back Reef,4,7,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
Video,16.45816,88.01295,4,Back Reef,4,8,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
Video,16.45816,88.01295,4,Back Reef,4,9,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
Video,16.45816,88.01295,4,Back Reef,4,10,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
Video,16.45816,88.01295,4,Back Reef,4,11,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
Video,16.45816,88.01295,4,Back Reef,4,12,28.06998,6.23,40.1,66.15393,5.5431748,0.374558
AGRRA,16.49995,88.16527,5,Patch Reef,4,1,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
AGRRA,16.49995,88.16527,5,Patch Reef,4,2,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
AGRRA,16.49995,88.16527,5,Patch Reef,4,3,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
AGRRA,16.49995,88.16527,5,Patch Reef,4,4,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
AGRRA,16.49995,88.16527,5,Patch Reef,4,5,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
AGRRA,16.49995,88.16527,5,Patch Reef,4,6,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
Video,16.49995,88.16527,5,Patch Reef,4,7,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
Video,16.49995,88.16527,5,Patch Reef,4,8,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
Video,16.49995,88.16527,5,Patch Reef,4,9,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
Video,16.49995,88.16527,5,Patch Reef,4,10,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
Video,16.49995,88.16527,5,Patch Reef,4,11,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
Video,16.49995,88.16527,5,Patch Reef,4,12,28.06547,7.24,52.3,65.27861,12.7227175,0.5469553
AGRRA,16.4654,88.31315,6,Nearshore,4,1,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
AGRRA,16.4654,88.31315,6,Nearshore,4,2,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
AGRRA,16.4654,88.31315,6,Nearshore,4,3,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
AGRRA,16.4654,88.31315,6,Nearshore,4,4,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
AGRRA,16.4654,88.31315,6,Nearshore,4,5,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
AGRRA,16.4654,88.31315,6,Nearshore,4,6,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
Video,16.4654,88.31315,6,Nearshore,4,7,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
Video,16.4654,88.31315,6,Nearshore,4,8,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
Video,16.4654,88.31315,6,Nearshore,4,9,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
Video,16.4654,88.31315,6,Nearshore,4,10,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
Video,16.4654,88.31315,6,Nearshore,4,11,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
Video,16.4654,88.31315,6,Nearshore,4,12,28.13109,7.25,59.4,180.95833,16.8630477,0.8985669
AGRRA,16.15729,88.25073,7,Back Reef,5,1,28.13313,6.58,43,145.7949,17.9118852,0.58056
AGRRA,16.15729,88.25073,7,Back Reef,5,2,28.13313,6.58,43,145.7949,17.9118852,0.58056
AGRRA,16.15729,88.25073,7,Back Reef,5,3,28.13313,6.58,43,145.7949,17.9118852,0.58056
AGRRA,16.15729,88.25073,7,Back Reef,5,4,28.13313,6.58,43,145.7949,17.9118852,0.58056
AGRRA,16.15729,88.25073,7,Back Reef,5,5,28.13313,6.58,43,145.7949,17.9118852,0.58056
