method,site,type,lat,transect,diver,life.history,species,percent.of.cover,l,w,area,pale,bleached,total.pb,percent.pb,new,trans,old,total.mort,percent.mort,disease,percentdisease
Video,1,Back Reef,3,1,4,Stress Tolerant,SSID,0.3,5.625,5.625,31.640625,0,0,0,0,0.7,0,0,16,70,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.9,10.8,5.4,58.32,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Stress Tolerant,SSID,0.8,29.41176471,12.94117647,380.6228374,0,0,0,0,0,0,0.4,10,40,0,0
Video,1,Back Reef,3,1,4,Generalist,OFAV,0.9,26.71875,18.28125,488.4521484,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Weedy,UTEN,0.3,11.78571429,16.07142857,189.4132654,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Stress Tolerant,SSID,0.85,21.25,13.66071429,290.2901787,0,0,0,0,0.1,0,0,4,10,0,0
Video,1,Back Reef,3,1,4,Generalist,OFAV,0.8,8.888888889,11.11111111,98.76543209,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.4,13.33333333,8.787878788,117.1717171,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Weedy,PAST,0.9,7.5,8.125,60.9375,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Weedy,PAST,0.85,5.902777778,7.083333333,41.81134259,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.3,5.208333333,4.166666667,21.70138889,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.2,5.714285714,10.71428571,61.22448977,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Weedy,PAST,0.9,15.09868421,15.09868421,227.9702649,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Generalist,OFAV,0.9,13.53552632,12.78947368,173.1122576,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Weedy,PPOR,0.3,17.56578947,8.289473684,145.6111496,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.1,4.545454545,5.909090909,26.85950413,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,Weedy,PAST,0.8,17.66666667,18.66666667,329.7777779,0,0,0,0,0.1,0,0.1,6,20,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.15,7.767857143,14.73214286,114.4371811,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,1,4,NA,MCOM,0.6,24.70588235,21.17647059,523.183391,0.5,0,0.5,50,0,0,0,2,0,0,0
